Metric Names,Is Fatal,Total Interactions,Total Applicable Interactions,Total Adhered Interactions,Metric Adherence Percent
Agent Blaming customer,0,3,3,2,66.67
Agent Maintian Profressionalism,0,3,3,1,33.33
COMMON AU - GEN & DET,0,3,2,2,100
COMMON CU - GEN Both,0,3,2,2,100
COMMON CU2 Price - DET & GEN,0,3,2,2,100
COMMON Greeting Complaince Rate,1,3,3,1,33.33
COMMON Proper Sign-off,0,3,3,1,33.33
COMMON Resolution Complaince - confirmation of Resolution provided UPDATE,0,3,3,1,33.33
CU leave date and agent return question,0,3,2,2,100
Chat Transfer,0,3,0,0,0
Test By value 1st - Base Rate,0,3,0,0,0
V2 Agent AI - flight booking update,0,3,3,1,33.33
V2 By Question - Base rate,0,3,1,0,0
V2 By Question - Flight booking,0,3,3,2,66.67
